,symbol,T,bte_3
163,KO2Y,650,3.263848824
164,KO2Y,700,3.028561658
165,KO2Y,750,2.82507707
166,KO2Y,800,2.647327811
167,KO2Y,850,2.490703632
168,KO2Y,900,2.351637188
169,KO2Y,950,2.227323998
170,KO2Y,1000,2.115528309
171,LiMgN,100,111.7324642
172,LiMgN,150,43.99352332
173,LiMgN,200,25.77546469
174,LiMgN,250,18.25008199
175,LiMgN,300,14.24390618
176,LiMgN,350,11.75530691
177,LiMgN,400,10.04908266
178,LiMgN,450,8.79898637
179,LiMgN,500,7.839175013
180,LiMgN,550,7.076403352
181,LiMgN,600,6.454065575
182,LiMgN,650,5.935686725
183,LiMgN,700,5.496624723
184,LiMgN,750,5.119582721
185,LiMgN,800,4.792031997
186,LiMgN,850,4.504656352
187,LiMgN,900,4.250372912
188,LiMgN,950,4.023693397
189,LiMgN,1000,3.820294545
190,MgTe,100,30.84460364
191,MgTe,150,20.71697206
192,MgTe,200,15.67998193
193,MgTe,250,12.64851593
194,MgTe,300,10.61423469
195,MgTe,350,9.150688622
196,MgTe,400,8.045506144
197,MgTe,450,7.18058559
198,MgTe,500,6.484825157
199,MgTe,550,5.912776998
200,MgTe,600,5.43399682
201,MgTe,650,5.02730611
202,MgTe,700,4.677506727
203,MgTe,750,4.37340394
204,MgTe,800,4.106566693
205,MgTe,850,3.870522568
206,MgTe,900,3.660219148
207,MgTe,950,3.471654158
208,MgTe,1000,3.30161566
209,MoS2,100,128.2128356
210,MoS2,150,77.46244642
211,MoS2,200,54.88366568
212,MoS2,250,42.70443211
213,MoS2,300,35.11019756
214,MoS2,350,29.9011903
215,MoS2,400,26.09060469
216,MoS2,450,23.17165707
217,MoS2,500,20.85877841
218,MoS2,550,18.97722881
219,MoS2,600,17.41484966
220,MoS2,650,16.09534019
221,MoS2,700,14.96530181
222,MoS2,750,13.98609178
223,MoS2,800,13.12901632
224,MoS2,850,12.37229785
225,MoS2,900,11.6989777
226,MoS2,950,11.09605471
227,MoS2,1000,10.55284625
228,Rb2Te,100,5.112222136
229,Rb2Te,150,3.444735446
230,Rb2Te,200,2.600014947
231,Rb2Te,250,2.088517372
232,Rb2Te,300,1.745349679
233,Rb2Te,350,1.499102722
234,Rb2Te,400,1.313777727
235,Rb2Te,450,1.169247079
236,Rb2Te,500,1.053372842
237,Rb2Te,550,0.958399143
238,Rb2Te,600,0.8791379114
239,Rb2Te,650,0.811987235
240,Rb2Te,700,0.7543681355
241,Rb2Te,750,0.7043854568
242,Rb2Te,800,0.6606152829
243,Rb2Te,850,0.6219670262
244,Rb2Te,900,0.5875912742
245,Rb2Te,950,0.5568166099
246,Rb2Te,1000,0.5291053052
247,RhScTe,100,39.36225579
248,RhScTe,150,23.90528473
249,RhScTe,200,17.40436516
250,RhScTe,250,13.75762715
251,RhScTe,300,11.40179372
252,RhScTe,350,9.746635448
253,RhScTe,400,8.516835137
254,RhScTe,450,7.565647589
255,RhScTe,500,6.807309701
256,RhScTe,550,6.188188776
257,RhScTe,600,5.672955789
258,RhScTe,650,5.237358376
259,RhScTe,700,4.864178893
260,RhScTe,750,4.54084751
261,RhScTe,800,4.257968189
262,RhScTe,850,4.008373649
263,RhScTe,900,3.786499849
264,RhScTe,950,3.587960402
265,RhScTe,1000,3.409250004
266,BeSe,100,206.8151281
267,BeSe,150,153.1969214
268,BeSe,200,124.412638
269,BeSe,250,107.1492586
270,BeSe,300,95.6145198
271,BeSe,350,87.23771739
272,BeSe,400,80.77938991
273,BeSe,450,75.58121396
274,BeSe,500,71.26255025
275,BeSe,550,67.58748666
276,BeSe,600,64.40135207
277,BeSe,650,61.59798569
278,BeSe,700,59.10172085
279,BeSe,750,56.85690293
280,BeSe,800,54.82149721
281,BeSe,850,52.9630308
282,BeSe,900,51.25592575
283,BeSe,950,49.67969287
284,BeSe,1000,48.21767589
285,BrCs,100,1.525754504
286,BrCs,150,1.021777087
287,BrCs,200,0.7677874495
288,BrCs,250,0.6148427351
289,BrCs,300,0.5126773637
290,BrCs,350,0.4396126056
291,BrCs,400,0.3847689548
292,BrCs,450,0.3420878144
293,BrCs,500,0.3079280392
294,BrCs,550,0.2799697678
295,BrCs,600,0.2566650317
296,BrCs,650,0.2369414093
297,BrCs,700,0.2200324572
298,BrCs,750,0.2053758611
299,BrCs,800,0.1925497269
300,BrCs,850,0.1812313273
301,BrCs,900,0.1711695851
302,BrCs,950,0.1621662354
303,BrCs,1000,0.1540626344
304,ClLi,100,9.40823234
305,ClLi,150,5.794764817
306,ClLi,200,4.240681111
307,ClLi,250,3.362725252
308,ClLi,300,2.793166123
309,ClLi,350,2.391745322
310,ClLi,400,2.092739015
311,ClLi,450,1.861001667
312,ClLi,500,1.675936172
313,ClLi,550,1.524630696
314,ClLi,600,1.398561719
315,ClLi,650,1.291867018
316,ClLi,700,1.200377808
317,ClLi,750,1.121046112
318,ClLi,800,1.051590509
319,ClLi,850,0.9902686606
320,ClLi,900,0.9357265097
321,ClLi,950,0.8868955522
322,ClLi,1000,0.842921154
323,CsK2Sb,100,0.6316327801
324,CsK2Sb,150,0.4185085917
325,CsK2Sb,200,0.3133139994
326,CsK2Sb,250,0.2504654223
327,CsK2Sb,300,0.2086454669
328,CsK2Sb,350,0.1788035613
329,CsK2Sb,400,0.1564349438
330,CsK2Sb,450,0.139043328
331,CsK2Sb,500,0.1251332827
332,CsK2Sb,550,0.1137541452
333,CsK2Sb,600,0.1042725877
334,CsK2Sb,650,0.09625037314
335,CsK2Sb,700,0.08937459135
336,CsK2Sb,750,0.08341583871
337,CsK2Sb,800,0.07820209936
338,CsK2Sb,850,0.07360185372
339,CsK2Sb,900,0.06951282233
340,CsK2Sb,950,0.06585426675
341,CsK2Sb,1000,0.0625616018
342,KS2Y,100,14.1849808
343,KS2Y,150,8.670793479
344,KS2Y,200,6.335773387
345,KS2Y,250,5.017012119
346,KS2Y,300,4.161082311
347,KS2Y,350,3.557954245
348,KS2Y,400,3.109035303
349,KS2Y,450,2.761465576
350,KS2Y,500,2.484209037
351,KS2Y,550,2.257789802
352,KS2Y,600,2.06934598
353,KS2Y,650,1.910031824
354,KS2Y,700,1.773558935
355,KS2Y,750,1.655331961
356,KS2Y,800,1.55191346
357,KS2Y,850,1.460680078
358,KS2Y,900,1.379594601
359,KS2Y,950,1.307050657
360,KS2Y,1000,1.241764378
361,Li2NaSb,100,13.37811509
362,Li2NaSb,150,8.346347719
363,Li2NaSb,200,6.106035946
364,Li2NaSb,250,4.843561291
365,Li2NaSb,300,4.028093191
366,Li2NaSb,350,3.454863173
367,Li2NaSb,400,3.028360595
368,Li2NaSb,450,2.697854805
369,Li2NaSb,500,2.433787388
370,Li2NaSb,550,2.217710391
371,Li2NaSb,600,2.037484068
372,Li2NaSb,650,1.884777069
373,Li2NaSb,700,1.753673063
374,Li2NaSb,750,1.639849987
375,Li2NaSb,800,1.540090083
376,Li2NaSb,850,1.451891698
377,Li2NaSb,900,1.373351867
378,Li2NaSb,950,1.302955572
379,Li2NaSb,1000,1.239490512
380,Na2Se,100,15.05847573
381,Na2Se,150,9.979254829
382,Na2Se,200,7.51181136
